Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
1514.5,692.137
1515.5,732.324
1516.5,381.536
1517.5,575.688
1518.5,398.237
1519.5,105.881
1520.5,118.995
1521.5,102.931
1522.5,103.897
1523.5,71.3077
1524.5,41.5875
1525.5,0
1526.5,0
1527.5,0
1528.5,0
1529.5,0
1530.5,0
1531.5,0
1532.5,36.3581
1533.5,147.154
1534.5,289.458
1535.5,250.02
1536.5,355.175
1537.5,505.988
1538.5,822.411
1539.5,635.894
1540.5,736.87
1541.5,936.89
1542.5,797.237
1543.5,727.822
1544.5,978.961
1545.5,803.697
1546.5,1087.78
1547.5,970.069
1548.5,892.115
1549.5,1033.46
1550.5,1133.83
1551.5,1137.41
1552.5,1142.19
1553.5,1171.5
1554.5,913.86
1555.5,1219.07
1556.5,1250.54
1557.5,1231.01
1558.5,1251.67
1559.5,820.482
1560.5,510.159
1561.5,557.193
1562.5,465.818
1563.5,361.191
1564.5,686.041
1565.5,780.137
1566.5,889.334
1567.5,805.966
1568.5,679.442
1569.5,290.748
1570.5,196.883
1571.5,237.416
1572.5,123.134
1573.5,86.5972
1574.5,144.439
1575.5,284.897
1576.5,216.408
1577.5,200.843
1578.5,324.829
1579.5,596.816
1580.5,674.005
1581.5,611.808
1582.5,595.809
1583.5,911.501
1584.5,844.325
1585.5,436.225
1586.5,471.564
1587.5,317.779
1588.5,469.519
1589.5,449.974
1590.5,545.822
1591.5,413.374
1592.5,359.675
1593.5,331.6
1594.5,609.979
1595.5,548.44
1596.5,461.111
1597.5,418.653
1598.5,451.568
1599.5,953.903
1600.5,1187.26
1601.5,952.114
1602.5,520.085
1603.5,670.098
1604.5,543.829
1605.5,597.367
1606.5,441.16
1607.5,541.299
1608.5,68.9598
1609.5,914.943
1610.5,153.451
1611.5,525.724
1612.5,548.481
1613.5,188.591
1614.5,359.8
1615.5,191.011
1616.5,306.965
1617.5,404.123
1618.5,1184.81
1619.5,1249.89
1620.5,1225.62
1621.5,1212.58
1622.5,1231.98
1623.5,1237.96
1624.5,1220.56
1625.5,1236.87
1626.5,1224.65
